username,id,count,follow_by1,follow_by2,follow_by3,follow_by4,total_follow_by,iteration
cz_binance,"902926941413453824	",68,"APompliano,novogratz,VitalikButerin,BarrySilbert,tyler,SBF_FTX,brian_armstrong,balajis,saylor,jespow,cameron,SatoshiLite,NeerajKA,nayibbukele,RaoulGMI,CaitlinLong_,cobie,TheCryptoDog,Cointelegraph,twobitidiot,ErikVoorhees,woonomic,laurashin,scottmelker,cryptomanran,CoinDesk,binance,FEhrsam,DocumentingBTC,danheld,zhusu","pmarca,CathieDWood,PeterMcCormack,Blockstream,rogerkver,AriDavidPaul,jerallaire,Excellion,FrancisSuarez,brucefenton,davidmarcus,nlw,HesterPeirce,jgarzik,punk6529,cdixon,natbrunell,BrianBrooksUS,Scaramucci","ethereumJoseph,VinnyLingham,muneeb,CremeDeLaCrypto,valkenburgh,NickSzabo4,bendavenport,mikejcasey,billbarhydt,austinhill,DTAPCAP","cburniske,DavidSacks,kyletorpey,msantoriESQ,AaronvanW,jessewldn,haydenzadams","APompliano,novogratz,VitalikButerin,BarrySilbert,tyler,SBF_FTX,brian_armstrong,balajis,saylor,jespow,cameron,SatoshiLite,NeerajKA,nayibbukele,RaoulGMI,CaitlinLong_,cobie,TheCryptoDog,Cointelegraph,twobitidiot,ErikVoorhees,woonomic,laurashin,scottmelker,cryptomanran,CoinDesk,binance,FEhrsam,DocumentingBTC,danheld,zhusu,pmarca,CathieDWood,PeterMcCormack,Blockstream,rogerkver,AriDavidPaul,jerallaire,Excellion,FrancisSuarez,brucefenton,davidmarcus,nlw,HesterPeirce,jgarzik,punk6529,cdixon,natbrunell,BrianBrooksUS,Scaramucci,ethereumJoseph,VinnyLingham,muneeb,CremeDeLaCrypto,valkenburgh,NickSzabo4,bendavenport,mikejcasey,billbarhydt,austinhill,DTAPCAP,cburniske,DavidSacks,kyletorpey,msantoriESQ,AaronvanW,jessewldn,haydenzadams",1
elonmusk,"44196397	",79,"cz_binance,APompliano,novogratz,VitalikButerin,tyler,SBF_FTX,brian_armstrong,balajis,jack,saylor,jespow,cameron,SatoshiLite,chamath,NeerajKA,nayibbukele,RaoulGMI,CaitlinLong_,TheCryptoDog,Cointelegraph,twobitidiot,ErikVoorhees,BitcoinMagazine,woonomic,Melt_Dem,laurashin,nic__carter,scottmelker,cryptomanran,CoinDesk,binance,FEhrsam,DocumentingBTC,danheld,zhusu","pmarca,CathieDWood,PeterMcCormack,Blockstream,lopp,rogerkver,AriDavidPaul,jerallaire,Excellion,FrancisSuarez,brucefenton,davidmarcus,nlw,jgarzik,punk6529,jackmallers,gladstein,cdixon,natbrunell,Scaramucci","ethereumJoseph,katie_haun,roasbeef,morcosa,VinnyLingham,muneeb,fintechfrank,CremeDeLaCrypto,valkenburgh,NickSzabo4,bendavenport,mikejcasey,billbarhydt,bhorowitz,paoloardoino,austinhill,DTAPCAP","cburniske,DavidSacks,kyletorpey,msantoriESQ,jillrgunter,AaronvanW,jessewldn","cz_binance,APompliano,novogratz,VitalikButerin,tyler,SBF_FTX,brian_armstrong,balajis,jack,saylor,jespow,cameron,SatoshiLite,chamath,NeerajKA,nayibbukele,RaoulGMI,CaitlinLong_,TheCryptoDog,Cointelegraph,twobitidiot,ErikVoorhees,BitcoinMagazine,woonomic,Melt_Dem,laurashin,nic__carter,scottmelker,cryptomanran,CoinDesk,binance,FEhrsam,DocumentingBTC,danheld,zhusu,pmarca,CathieDWood,PeterMcCormack,Blockstream,lopp,rogerkver,AriDavidPaul,jerallaire,Excellion,FrancisSuarez,brucefenton,davidmarcus,nlw,jgarzik,punk6529,jackmallers,gladstein,cdixon,natbrunell,Scaramucci,ethereumJoseph,katie_haun,roasbeef,morcosa,VinnyLingham,muneeb,fintechfrank,CremeDeLaCrypto,valkenburgh,NickSzabo4,bendavenport,mikejcasey,billbarhydt,bhorowitz,paoloardoino,austinhill,DTAPCAP,cburniske,DavidSacks,kyletorpey,msantoriESQ,jillrgunter,AaronvanW,jessewldn",1
APompliano,"339061487	",76,"cz_binance,novogratz,BarrySilbert,tyler,SBF_FTX,balajis,jack,saylor,jespow,cameron,SatoshiLite,chamath,NeerajKA,nayibbukele,RaoulGMI,CaitlinLong_,cobie,TheCryptoDog,Cointelegraph,twobitidiot,ErikVoorhees,BitcoinMagazine,woonomic,Melt_Dem,laurashin,nic__carter,scottmelker,cryptomanran,CoinDesk,binance,FEhrsam,DocumentingBTC,danheld,zhusu","CathieDWood,LynAldenContact,TuurDemeester,Blockstream,adam3us,rogerkver,AriDavidPaul,jerallaire,Excellion,FrancisSuarez,brucefenton,davidmarcus,nlw,HesterPeirce,jgarzik,punk6529,jackmallers,gladstein,jchervinsky,cdixon,natbrunell,Scaramucci","ethereumJoseph,katie_haun,roasbeef,VinnyLingham,muneeb,fintechfrank,CremeDeLaCrypto,AlyseKilleen,NickSzabo4,bendavenport,mikejcasey,billbarhydt,paoloardoino,austinhill,DTAPCAP","DavidSacks,kyletorpey,msantoriESQ,AaronvanW,jessewldn","cz_binance,novogratz,BarrySilbert,tyler,SBF_FTX,balajis,jack,saylor,jespow,cameron,SatoshiLite,chamath,NeerajKA,nayibbukele,RaoulGMI,CaitlinLong_,cobie,TheCryptoDog,Cointelegraph,twobitidiot,ErikVoorhees,BitcoinMagazine,woonomic,Melt_Dem,laurashin,nic__carter,scottmelker,cryptomanran,CoinDesk,binance,FEhrsam,DocumentingBTC,danheld,zhusu,CathieDWood,LynAldenContact,TuurDemeester,Blockstream,adam3us,rogerkver,AriDavidPaul,jerallaire,Excellion,FrancisSuarez,brucefenton,davidmarcus,nlw,HesterPeirce,jgarzik,punk6529,jackmallers,gladstein,jchervinsky,cdixon,natbrunell,Scaramucci,ethereumJoseph,katie_haun,roasbeef,VinnyLingham,muneeb,fintechfrank,CremeDeLaCrypto,AlyseKilleen,NickSzabo4,bendavenport,mikejcasey,billbarhydt,paoloardoino,austinhill,DTAPCAP,DavidSacks,kyletorpey,msantoriESQ,AaronvanW,jessewldn",1
novogratz,"19847181	",75,"cz_binance,APompliano,BarrySilbert,tyler,SBF_FTX,jack,saylor,jespow,cameron,SatoshiLite,NeerajKA,RaoulGMI,CaitlinLong_,cobie,TheCryptoDog,Cointelegraph,twobitidiot,ErikVoorhees,BitcoinMagazine,woonomic,Melt_Dem,laurashin,scottmelker,cryptomanran,CoinDesk,FEhrsam,DocumentingBTC,danheld,zhusu","pmarca,CathieDWood,LynAldenContact,PeterMcCormack,Blockstream,lopp,adam3us,rogerkver,AriDavidPaul,jerallaire,Excellion,FrancisSuarez,brucefenton,davidmarcus,nlw,jgarzik,punk6529,gladstein,jchervinsky,cdixon,fredwilson,natbrunell,BrianBrooksUS,Scaramucci","jerrybrito,ethereumJoseph,katie_haun,morcosa,VinnyLingham,muneeb,fintechfrank,CremeDeLaCrypto,AlyseKilleen,bendavenport,mikejcasey,billbarhydt,paoloardoino,austinhill,DTAPCAP","cburniske,DavidSacks,msantoriESQ,AaronvanW,TheStalwart,jessewldn,haydenzadams","cz_binance,APompliano,BarrySilbert,tyler,SBF_FTX,jack,saylor,jespow,cameron,SatoshiLite,NeerajKA,RaoulGMI,CaitlinLong_,cobie,TheCryptoDog,Cointelegraph,twobitidiot,ErikVoorhees,BitcoinMagazine,woonomic,Melt_Dem,laurashin,scottmelker,cryptomanran,CoinDesk,FEhrsam,DocumentingBTC,danheld,zhusu,pmarca,CathieDWood,LynAldenContact,PeterMcCormack,Blockstream,lopp,adam3us,rogerkver,AriDavidPaul,jerallaire,Excellion,FrancisSuarez,brucefenton,davidmarcus,nlw,jgarzik,punk6529,gladstein,jchervinsky,cdixon,fredwilson,natbrunell,BrianBrooksUS,Scaramucci,jerrybrito,ethereumJoseph,katie_haun,morcosa,VinnyLingham,muneeb,fintechfrank,CremeDeLaCrypto,AlyseKilleen,bendavenport,mikejcasey,billbarhydt,paoloardoino,austinhill,DTAPCAP,cburniske,DavidSacks,msantoriESQ,AaronvanW,TheStalwart,jessewldn,haydenzadams",1
VitalikButerin,"295218901	",73,"cz_binance,APompliano,novogratz,BarrySilbert,tyler,SBF_FTX,brian_armstrong,balajis,jespow,cameron,SatoshiLite,chamath,NeerajKA,RaoulGMI,CaitlinLong_,TheCryptoDog,Cointelegraph,twobitidiot,ErikVoorhees,Melt_Dem,laurashin,nic__carter,scottmelker,cryptomanran,CoinDesk,FEhrsam,DocumentingBTC,zhusu","pmarca,CathieDWood,TuurDemeester,PeterMcCormack,rogerkver,AriDavidPaul,jerallaire,Excellion,FrancisSuarez,brucefenton,davidmarcus,nlw,HesterPeirce,jgarzik,punk6529,jackmallers,gladstein,jchervinsky,cdixon,fredwilson,natbrunell,Scaramucci","jerrybrito,ethereumJoseph,roasbeef,morcosa,VinnyLingham,muneeb,fintechfrank,CremeDeLaCrypto,valkenburgh,bendavenport,mikejcasey,billbarhydt,bhorowitz,paoloardoino,austinhill,DTAPCAP","cburniske,DavidSacks,msantoriESQ,jillrgunter,AaronvanW,jessewldn,haydenzadams","cz_binance,APompliano,novogratz,BarrySilbert,tyler,SBF_FTX,brian_armstrong,balajis,jespow,cameron,SatoshiLite,chamath,NeerajKA,RaoulGMI,CaitlinLong_,TheCryptoDog,Cointelegraph,twobitidiot,ErikVoorhees,Melt_Dem,laurashin,nic__carter,scottmelker,cryptomanran,CoinDesk,FEhrsam,DocumentingBTC,zhusu,pmarca,CathieDWood,TuurDemeester,PeterMcCormack,rogerkver,AriDavidPaul,jerallaire,Excellion,FrancisSuarez,brucefenton,davidmarcus,nlw,HesterPeirce,jgarzik,punk6529,jackmallers,gladstein,jchervinsky,cdixon,fredwilson,natbrunell,Scaramucci,jerrybrito,ethereumJoseph,roasbeef,morcosa,VinnyLingham,muneeb,fintechfrank,CremeDeLaCrypto,valkenburgh,bendavenport,mikejcasey,billbarhydt,bhorowitz,paoloardoino,austinhill,DTAPCAP,cburniske,DavidSacks,msantoriESQ,jillrgunter,AaronvanW,jessewldn,haydenzadams",1
BarrySilbert,"396045469	",76,"cz_binance,APompliano,novogratz,tyler,SBF_FTX,brian_armstrong,balajis,jack,saylor,jespow,cameron,SatoshiLite,chamath,NeerajKA,RaoulGMI,CaitlinLong_,cobie,TheCryptoDog,Cointelegraph,twobitidiot,ErikVoorhees,BitcoinMagazine,Melt_Dem,laurashin,nic__carter,scottmelker,cryptomanran,CoinDesk,binance,FEhrsam,DocumentingBTC,danheld,zhusu","CathieDWood,TuurDemeester,PeterMcCormack,Blockstream,adam3us,rogerkver,AriDavidPaul,jerallaire,FrancisSuarez,brucefenton,davidmarcus,nlw,HesterPeirce,jgarzik,punk6529,jackmallers,jchervinsky,cdixon,fredwilson,natbrunell,Scaramucci","jerrybrito,ethereumJoseph,katie_haun,roasbeef,morcosa,VinnyLingham,muneeb,fintechfrank,CremeDeLaCrypto,valkenburgh,NickSzabo4,bendavenport,mikejcasey,austinhill,DTAPCAP","cburniske,DavidSacks,kyletorpey,msantoriESQ,AaronvanW,TheStalwart,jessewldn","cz_binance,APompliano,novogratz,tyler,SBF_FTX,brian_armstrong,balajis,jack,saylor,jespow,cameron,SatoshiLite,chamath,NeerajKA,RaoulGMI,CaitlinLong_,cobie,TheCryptoDog,Cointelegraph,twobitidiot,ErikVoorhees,BitcoinMagazine,Melt_Dem,laurashin,nic__carter,scottmelker,cryptomanran,CoinDesk,binance,FEhrsam,DocumentingBTC,danheld,zhusu,CathieDWood,TuurDemeester,PeterMcCormack,Blockstream,adam3us,rogerkver,AriDavidPaul,jerallaire,FrancisSuarez,brucefenton,davidmarcus,nlw,HesterPeirce,jgarzik,punk6529,jackmallers,jchervinsky,cdixon,fredwilson,natbrunell,Scaramucci,jerrybrito,ethereumJoseph,katie_haun,roasbeef,morcosa,VinnyLingham,muneeb,fintechfrank,CremeDeLaCrypto,valkenburgh,NickSzabo4,bendavenport,mikejcasey,austinhill,DTAPCAP,cburniske,DavidSacks,kyletorpey,msantoriESQ,AaronvanW,TheStalwart,jessewldn",1
tyler,"24222556	",69,"cz_binance,APompliano,novogratz,SBF_FTX,brian_armstrong,balajis,saylor,jespow,cameron,SatoshiLite,NeerajKA,RaoulGMI,CaitlinLong_,TheCryptoDog,Cointelegraph,twobitidiot,ErikVoorhees,Melt_Dem,laurashin,scottmelker,cryptomanran,CoinDesk,FEhrsam,DocumentingBTC,danheld,zhusu","TuurDemeester,PeterMcCormack,Blockstream,lopp,adam3us,rogerkver,AriDavidPaul,jerallaire,Excellion,FrancisSuarez,brucefenton,nlw,HesterPeirce,jgarzik,punk6529,gladstein,cdixon,natbrunell,Scaramucci","jerrybrito,ethereumJoseph,katie_haun,roasbeef,morcosa,VinnyLingham,muneeb,fintechfrank,CremeDeLaCrypto,valkenburgh,NickSzabo4,bendavenport,mikejcasey,billbarhydt,austinhill,DTAPCAP","cburniske,DavidSacks,kyletorpey,msantoriESQ,jillrgunter,AaronvanW,TheStalwart,haydenzadams","cz_binance,APompliano,novogratz,SBF_FTX,brian_armstrong,balajis,saylor,jespow,cameron,SatoshiLite,NeerajKA,RaoulGMI,CaitlinLong_,TheCryptoDog,Cointelegraph,twobitidiot,ErikVoorhees,Melt_Dem,laurashin,scottmelker,cryptomanran,CoinDesk,FEhrsam,DocumentingBTC,danheld,zhusu,TuurDemeester,PeterMcCormack,Blockstream,lopp,adam3us,rogerkver,AriDavidPaul,jerallaire,Excellion,FrancisSuarez,brucefenton,nlw,HesterPeirce,jgarzik,punk6529,gladstein,cdixon,natbrunell,Scaramucci,jerrybrito,ethereumJoseph,katie_haun,roasbeef,morcosa,VinnyLingham,muneeb,fintechfrank,CremeDeLaCrypto,valkenburgh,NickSzabo4,bendavenport,mikejcasey,billbarhydt,austinhill,DTAPCAP,cburniske,DavidSacks,kyletorpey,msantoriESQ,jillrgunter,AaronvanW,TheStalwart,haydenzadams",1
SBF_FTX,"1110877798820777986	",71,"APompliano,novogratz,VitalikButerin,BarrySilbert,tyler,brian_armstrong,balajis,jack,saylor,jespow,cameron,SatoshiLite,NeerajKA,RaoulGMI,CaitlinLong_,cobie,TheCryptoDog,Cointelegraph,twobitidiot,ErikVoorhees,woonomic,Melt_Dem,laurashin,nic__carter,scottmelker,cryptomanran,CoinDesk,binance,FEhrsam,DocumentingBTC,danheld,zhusu","pmarca,TuurDemeester,PeterMcCormack,Blockstream,rogerkver,starkness,AriDavidPaul,jerallaire,Excellion,FrancisSuarez,brucefenton,davidmarcus,nlw,jgarzik,punk6529,jchervinsky,cdixon,natbrunell,Scaramucci","jerrybrito,katie_haun,VinnyLingham,muneeb,fintechfrank,CremeDeLaCrypto,AlyseKilleen,bendavenport,mikejcasey,billbarhydt,paoloardoino,austinhill,DTAPCAP","cburniske,DavidSacks,kyletorpey,jillrgunter,TheStalwart,jessewldn,haydenzadams","APompliano,novogratz,VitalikButerin,BarrySilbert,tyler,brian_armstrong,balajis,jack,saylor,jespow,cameron,SatoshiLite,NeerajKA,RaoulGMI,CaitlinLong_,cobie,TheCryptoDog,Cointelegraph,twobitidiot,ErikVoorhees,woonomic,Melt_Dem,laurashin,nic__carter,scottmelker,cryptomanran,CoinDesk,binance,FEhrsam,DocumentingBTC,danheld,zhusu,pmarca,TuurDemeester,PeterMcCormack,Blockstream,rogerkver,starkness,AriDavidPaul,jerallaire,Excellion,FrancisSuarez,brucefenton,davidmarcus,nlw,jgarzik,punk6529,jchervinsky,cdixon,natbrunell,Scaramucci,jerrybrito,katie_haun,VinnyLingham,muneeb,fintechfrank,CremeDeLaCrypto,AlyseKilleen,bendavenport,mikejcasey,billbarhydt,paoloardoino,austinhill,DTAPCAP,cburniske,DavidSacks,kyletorpey,jillrgunter,TheStalwart,jessewldn,haydenzadams",1
brian_armstrong,"14379660	",75,"cz_binance,APompliano,novogratz,VitalikButerin,BarrySilbert,tyler,SBF_FTX,balajis,saylor,jespow,cameron,SatoshiLite,chamath,NeerajKA,RaoulGMI,CaitlinLong_,TheCryptoDog,twobitidiot,ErikVoorhees,Melt_Dem,laurashin,nic__carter,scottmelker,cryptomanran,CoinDesk,coinbase,FEhrsam,DocumentingBTC,zhusu","pmarca,CathieDWood,TuurDemeester,PeterMcCormack,Blockstream,adam3us,rogerkver,starkness,AriDavidPaul,jerallaire,FrancisSuarez,brucefenton,davidmarcus,nlw,HesterPeirce,jgarzik,punk6529,jackmallers,gladstein,jchervinsky,cdixon,fredwilson,natbrunell,BrianBrooksUS,Scaramucci","jerrybrito,ethereumJoseph,katie_haun,roasbeef,morcosa,VinnyLingham,muneeb,fintechfrank,CremeDeLaCrypto,bendavenport,mikejcasey,bhorowitz,austinhill,DTAPCAP","DavidSacks,msantoriESQ,jillrgunter,AaronvanW,TheStalwart,jessewldn,haydenzadams","cz_binance,APompliano,novogratz,VitalikButerin,BarrySilbert,tyler,SBF_FTX,balajis,saylor,jespow,cameron,SatoshiLite,chamath,NeerajKA,RaoulGMI,CaitlinLong_,TheCryptoDog,twobitidiot,ErikVoorhees,Melt_Dem,laurashin,nic__carter,scottmelker,cryptomanran,CoinDesk,coinbase,FEhrsam,DocumentingBTC,zhusu,pmarca,CathieDWood,TuurDemeester,PeterMcCormack,Blockstream,adam3us,rogerkver,starkness,AriDavidPaul,jerallaire,FrancisSuarez,brucefenton,davidmarcus,nlw,HesterPeirce,jgarzik,punk6529,jackmallers,gladstein,jchervinsky,cdixon,fredwilson,natbrunell,BrianBrooksUS,Scaramucci,jerrybrito,ethereumJoseph,katie_haun,roasbeef,morcosa,VinnyLingham,muneeb,fintechfrank,CremeDeLaCrypto,bendavenport,mikejcasey,bhorowitz,austinhill,DTAPCAP,DavidSacks,msantoriESQ,jillrgunter,AaronvanW,TheStalwart,jessewldn,haydenzadams",1
balajis,"2178012643	",86,"cz_binance,APompliano,novogratz,VitalikButerin,BarrySilbert,tyler,SBF_FTX,brian_armstrong,jack,saylor,jespow,cameron,SatoshiLite,chamath,NeerajKA,nayibbukele,RaoulGMI,CaitlinLong_,cobie,TheCryptoDog,twobitidiot,ErikVoorhees,BitcoinMagazine,woonomic,Melt_Dem,laurashin,nic__carter,scottmelker,cryptomanran,CoinDesk,FEhrsam,DocumentingBTC,danheld,zhusu","pmarca,LynAldenContact,PeterMcCormack,Blockstream,lopp,adam3us,rogerkver,starkness,AriDavidPaul,jerallaire,FrancisSuarez,brucefenton,davidmarcus,nlw,HesterPeirce,jgarzik,punk6529,jackmallers,gladstein,jchervinsky,cdixon,fredwilson,natbrunell,BrianBrooksUS,Scaramucci","jerrybrito,ethereumJoseph,katie_haun,roasbeef,morcosa,VinnyLingham,muneeb,fintechfrank,CremeDeLaCrypto,valkenburgh,AlyseKilleen,NickSzabo4,bendavenport,mikejcasey,billbarhydt,bhorowitz,austinhill,DTAPCAP","cburniske,DavidSacks,kyletorpey,msantoriESQ,jillrgunter,AaronvanW,TheStalwart,jessewldn,haydenzadams","cz_binance,APompliano,novogratz,VitalikButerin,BarrySilbert,tyler,SBF_FTX,brian_armstrong,jack,saylor,jespow,cameron,SatoshiLite,chamath,NeerajKA,nayibbukele,RaoulGMI,CaitlinLong_,cobie,TheCryptoDog,twobitidiot,ErikVoorhees,BitcoinMagazine,woonomic,Melt_Dem,laurashin,nic__carter,scottmelker,cryptomanran,CoinDesk,FEhrsam,DocumentingBTC,danheld,zhusu,pmarca,LynAldenContact,PeterMcCormack,Blockstream,lopp,adam3us,rogerkver,starkness,AriDavidPaul,jerallaire,FrancisSuarez,brucefenton,davidmarcus,nlw,HesterPeirce,jgarzik,punk6529,jackmallers,gladstein,jchervinsky,cdixon,fredwilson,natbrunell,BrianBrooksUS,Scaramucci,jerrybrito,ethereumJoseph,katie_haun,roasbeef,morcosa,VinnyLingham,muneeb,fintechfrank,CremeDeLaCrypto,valkenburgh,AlyseKilleen,NickSzabo4,bendavenport,mikejcasey,billbarhydt,bhorowitz,austinhill,DTAPCAP,cburniske,DavidSacks,kyletorpey,msantoriESQ,jillrgunter,AaronvanW,TheStalwart,jessewldn,haydenzadams",1
