,username,Popularity_score_norm,Reach_score_norm,degree_centrality_norm,eigenvector_centrality_norm,closeness_centrality_norm,pagerank_norm,occurrence_norm,final_score,Ranking
0,cz_binance,0.04908107582180663,0.06495855932073004,0.5537190082644627,0.6341435087946297,0.5645161290322579,0.4648627474753488,0.6470588235294118,2.9783398522386477,0.73
1,elonmusk,1.0,1.0,0.256198347107438,0.8583009235809836,0.8141592920353982,0.6068836455424934,0.8627450980392157,5.398287306305528,1.0
2,APompliano,0.05161780614192556,0.015106984408727903,1.0,0.7912108713102007,0.7413793103448273,0.5146961440603743,0.803921568627451,3.9179326848935068,0.96
3,novogratz,0.002827199960107592,0.004215157687159595,0.9586776859504131,0.775786026123509,0.7179487179487177,0.5051207129844492,0.7843137254901961,3.748889226144552,0.92
4,VitalikButerin,0.008356869157628103,0.04059877730434993,0.3057851239669421,0.7470395695339392,0.6722689075630249,0.48247552581290704,0.7450980392156863,3.0016228125544777,0.74
5,BarrySilbert,0.00308430758564163,0.006969142815150237,0.6280991735537189,0.8090465925651635,0.7413793103448273,0.5109476818952532,0.803921568627451,3.5034477773872057,0.89
6,tyler,0.010672819829886389,0.00955646509272055,0.8347107438016529,0.6729384284051217,0.5645161290322579,0.3801626000048145,0.6666666666666666,3.1392238528331204,0.79
7,SBF_FTX,0.0038300343213879197,0.007118750800403185,0.7107438016528924,0.718384592263596,0.6280991735537189,0.4868433896591056,0.7058823529411765,3.260902095192281,0.81
8,brian_armstrong,0.0021101469070795575,0.01011232015174026,0.5702479338842974,0.7983966392665727,0.7179487179487177,0.9120748501209119,0.7843137254901961,3.7952043337695156,0.93
9,balajis,0.00924849815652808,0.006300970479326754,0.9504132231404959,1.0,1.0,0.7513019888415297,1.0,4.71726468061788,0.99
10,jack,0.021062406402001178,0.05947823482497929,0.652892561983471,0.9071053724546966,0.8648648648648648,0.9782314520593136,0.9019607843137255,4.385595676903052,0.97
11,saylor,0.037298172238353,0.025125785658702063,0.743801652892562,0.7000281115111452,0.6065573770491801,0.4680791386484999,0.6862745098039216,3.267164747802364,0.82
12,jespow,0.0007150101494977327,0.001093727854004864,0.9834710743801652,0.7666649999169197,0.6722689075630249,0.43216268519768225,0.7450980392156863,3.601474444276981,0.9
13,cameron,0.005259713798344567,0.006455076349085509,0.7603305785123967,0.6063894508937229,0.5039370078740155,0.3442890335936992,0.5882352941176471,2.8148961551389116,0.68
14,SatoshiLite,0.00039585465457513927,0.009849040887337462,0.6115702479338843,0.6709157863492295,0.544,0.43381992454767193,0.6274509803921569,2.8980018347648553,0.71
15,chamath,0.008793902417821974,0.014694078611094811,0.3140495867768595,0.5403219643982788,0.4461538461538464,0.29849625585142575,0.5294117647058824,2.1519213989152095,0.48
16,NeerajKA,0.0050643903108595215,0.0013157378688182988,0.8429752066115701,0.7163361623498259,0.6280991735537189,0.481073521339198,0.7058823529411765,3.3807465449751675,0.85
17,nayibbukele,0.1258698331252121,0.039383142869254685,0.1239669421487603,0.30910444101406065,0.22377622377622375,0.17542101236721402,0.27450980392156865,1.272031399222294,0.11
18,RaoulGMI,0.0073420106759663475,0.008991428784915791,0.5454545454545454,0.4553235834706802,0.3382352941176472,0.24778558445599694,0.43137254901960786,2.0345049959793595,0.44
19,CaitlinLong_,0.0012284524648706306,0.0015730446845164795,0.8760330578512397,0.663642724700214,0.544,0.3986005111963448,0.6470588235294118,3.1321366144265976,0.78
20,cobie,0.022010970939707424,0.006785582757369948,0.28925619834710736,0.42745641799228706,0.28776978417266197,0.22755575801925793,0.37254901960784315,1.6333837318362348,0.2
21,TheCryptoDog,0.0,0.006804242022577544,0.5619834710743802,0.03470101616879543,0.012658227848101295,0.017550561993567616,0.0196078431372549,0.6533053622446771,0.04
22,Cointelegraph,0.014146731637355532,0.01630657484342099,0.4958677685950413,0.07828390111838267,0.05161290322580646,0.03164284841727172,0.0784313725490196,0.7662921003862984,0.06
23,twobitidiot,3.2680370376989954e-05,0.002456225173706213,0.9752066115702479,0.7953977120078131,0.7413793103448273,0.5185319194213424,0.803921568627451,3.836926027515765,0.95
24,ErikVoorhees,0.002631231345191925,0.005453921450002225,0.9752066115702479,0.7932060090512324,0.7413793103448273,0.4883832332946881,0.803921568627451,3.810181885683641,0.94
25,BitcoinMagazine,0.03849998378052262,0.02446758286070073,0.4297520661157024,0.4534283605587746,0.35555555555555557,0.2747634218806684,0.43137254901960786,2.007839519771532,0.41
26,CryptoHayes,0.0,0.002715869034549679,0.049586776859504085,0.4290573890450247,0.30434782608695654,0.2250849832167939,0.39215686274509803,1.4029497069879269,0.15
27,woonomic,0.005684004777432355,0.009604244682357495,0.3140495867768595,0.42487672973017465,0.3382352941176472,0.22854906125793734,0.4117647058823529,1.7327636272247613,0.21
28,Melt_Dem,0.0023531875087018663,0.002250305529238294,0.7355371900826446,0.6895772773773403,0.5853658536585364,0.3941780184470472,0.6862745098039216,3.0955363424074305,0.77
29,laurashin,0.0005556413584054739,0.0019217188366089108,0.9338842975206612,0.6870990695729436,0.6280991735537189,0.46255932782248177,0.7058823529411765,3.4200015816059963,0.86
30,nic__carter,0.0,0.003108446249014256,0.8016528925619834,0.7209639186655661,0.6280991735537189,0.4380811062145488,0.7058823529411765,3.297787890186008,0.84
31,scottmelker,0.01576400727354805,0.007905101573870997,0.3471074380165289,0.0,0.0,0.0013909747215887238,0.0,0.3721675215855366,0.01
32,cryptomanran,0.009513736822131084,0.005791429719733849,0.6280991735537189,0.02223966773393285,0.0,0.0,0.0196078431372549,0.6852518509667717,0.05
33,CoinDesk,0.008763906021000684,0.027330899041142834,0.8512396694214874,0.5846117182612084,0.5039370078740155,0.3843402708581304,0.5882352941176471,2.948458765594632,0.72
34,binance,0.04481816099447165,0.08832682211225683,0.09917355371900825,0.08779654968547264,0.06493506493506483,0.03789312874071196,0.0784313725490196,0.5013746527360057,0.02
35,coinbase,0.0035330586321225136,0.049719884272863044,0.09090909090909086,0.5082261411248982,0.40909090909090906,0.3684655117118336,0.49019607843137253,1.92014067417309,0.34
36,FEhrsam,0.00031943748458566397,0.001861475006197111,0.8760330578512397,0.9287573520102969,0.8909090909090905,1.0,0.9215686274509803,4.61944904071239,0.98
37,DocumentingBTC,0.018994038596513507,0.007593384266635558,0.6776859504132232,0.38458402493085037,0.28776978417266197,0.23953630453888733,0.35294117647058826,1.9691046633893603,0.38
38,danheld,0.013797589889124707,0.005756791372044798,0.7851239669421488,0.6654528612407443,0.544,0.37940844724963957,0.6470588235294118,3.0405984802231143,0.75
