id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1579991255228256257,1579991255228256257	,2022-10-12 08:24:04 Malay Peninsula Standard Time,2022-10-12,08:24:04,+0800,396045469,barrysilbert,Barry Silbert,,"Yes, over 850,000 Americans own $GBTC. It is time for the SEC to approve a spot-based bitcoin ETF",en,[],[],[],183,167,1271,[],['GBTC'],https://twitter.com/BarrySilbert/status/1579991255228256257,,https://twitter.com/BarrySilbert/status/1579988491966246913,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1579988491966246913,1579988491966246913	,2022-10-12 08:13:05 Malay Peninsula Standard Time,2022-10-12,08:13:05,+0800,396045469,barrysilbert,Barry Silbert,,"Grayscale Investments Files Opening Brief in Lawsuit Against the U.S. Securities and Exchange Commission 

https://t.co/E7HiMt9kw7",en,[],['https://www.globenewswire.com/news-release/2022/10/12/2532428/0/en/Grayscale-Investments-Files-Opening-Brief-in-Lawsuit-Against-the-U-S-Securities-and-Exchange-Commission.html'],[],83,130,669,[],[],https://twitter.com/BarrySilbert/status/1579988491966246913,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1579839457314099201,1579839457314099201	,2022-10-11 22:20:53 Malay Peninsula Standard Time,2022-10-11,22:20:53,+0800,396045469,barrysilbert,Barry Silbert,,👀,art,[],[],[],71,16,225,[],[],https://twitter.com/BarrySilbert/status/1579839457314099201,,https://twitter.com/FirstSquawk/status/1579838774712102918,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1579836848918368259,1579808941433028614	,2022-10-11 22:10:31 Malay Peninsula Standard Time,2022-10-11,22:10:31,+0800,396045469,barrysilbert,Barry Silbert,,@fintechfrank i’m totally okay with this meme becoming my life’s legacy,en,['fintechfrank'],[],[],16,8,351,[],[],https://twitter.com/BarrySilbert/status/1579836848918368259,,,0,,,,,,,,"{'user_id': '2933805082', 'username': 'fintechfrank'}",,,,
1579808941433028614,1579808941433028614	,2022-10-11 20:19:37 Malay Peninsula Standard Time,2022-10-11,20:19:37,+0800,396045469,barrysilbert,Barry Silbert,,"BlackRock, Google, BNY Mellon

Probably nothing",en,[],[],[],419,865,7070,[],[],https://twitter.com/BarrySilbert/status/1579808941433028614,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1578356912588206083,1578251771759427584	,2022-10-07 20:09:47 Malay Peninsula Standard Time,2022-10-07,20:09:47,+0800,396045469,barrysilbert,Barry Silbert,,"@Ergo_Platform please hand this account back to the ETC community. you need to earn followers, not buy them. do the right thing, thanks",en,['ergo_platform'],[],[],65,80,253,[],[],https://twitter.com/BarrySilbert/status/1578356912588206083,,,0,,,,,,,,"{'user_id': '759252279862104064', 'username': 'Ergo_Platform'}",,,,
1578007700910542848,1578007700910542848	,2022-10-06 21:02:08 Malay Peninsula Standard Time,2022-10-06,21:02:08,+0800,396045469,barrysilbert,Barry Silbert,,".@Grayscale Announces New Co-Investment Opportunity Designed to Capture Upside of Crypto Winter

https://t.co/dP9Pvrzazt",en,['grayscale'],['https://www.globenewswire.com/news-release/2022/10/06/2529537/0/en/Grayscale-Investments-Announces-New-Co-Investment-Opportunity-Designed-to-Capture-Upside-of-Crypto-Winter.html'],[],99,42,200,[],[],https://twitter.com/BarrySilbert/status/1578007700910542848,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1577758091470376963,1577718171468972033	,2022-10-06 04:30:16 Malay Peninsula Standard Time,2022-10-06,04:30:16,+0800,396045469,barrysilbert,Barry Silbert,,@lopp details details,en,['lopp'],[],[],8,0,32,[],[],https://twitter.com/BarrySilbert/status/1577758091470376963,,,0,,,,,,,,"{'user_id': '23618940', 'username': 'lopp'}",,,,
1577733265577975809,1577718171468972033	,2022-10-06 02:51:38 Malay Peninsula Standard Time,2022-10-06,02:51:38,+0800,396045469,barrysilbert,Barry Silbert,,@lopp sweet. massive adoption of the ZEC blockchain,en,['lopp'],[],[],25,15,284,[],[],https://twitter.com/BarrySilbert/status/1577733265577975809,,,0,,,,,,,,"{'user_id': '23618940', 'username': 'lopp'}",,,,
1576766187723051009,1575111955685453824	,2022-10-03 10:48:48 Malay Peninsula Standard Time,2022-10-03,10:48:48,+0800,396045469,barrysilbert,Barry Silbert,,"@PeterSchiff missed you, peter. super compelling argument for gold",en,['peterschiff'],[],[],24,4,229,[],[],https://twitter.com/BarrySilbert/status/1576766187723051009,,,0,,,,,,,,"{'user_id': '56562803', 'username': 'PeterSchiff'}",,,,
1575174842231373824,1575174842231373824	,2022-09-29 01:25:22 Malay Peninsula Standard Time,2022-09-29,01:25:22,+0800,396045469,barrysilbert,Barry Silbert,,"Looking for the next big crypto investment idea?
@CoinDesk is bridging the gap between TradFi and crypto with #CoinDeskIDEAS — a place for crypto entrepreneurs, asset managers and investors to source the next big deal

Oct 18-19 in NYC 

https://t.co/QKEcUm3OcB",en,['coindesk'],['https://www.coindesk.com/ideas/'],[],88,28,129,['coindeskideas'],[],https://twitter.com/BarrySilbert/status/1575174842231373824,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1575111955685453824,1575111955685453824	,2022-09-28 21:15:29 Malay Peninsula Standard Time,2022-09-28,21:15:29,+0800,396045469,barrysilbert,Barry Silbert,,Bitcoin is about to become the safe haven asset. Nowhere else to hide,en,[],[],[],1303,1463,10265,[],[],https://twitter.com/BarrySilbert/status/1575111955685453824,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1574222394457309185,1574222394457309185	,2022-09-26 10:20:41 Malay Peninsula Standard Time,2022-09-26,10:20:41,+0800,396045469,barrysilbert,Barry Silbert,,Bunch of people staring at their computer screens right now hoping that bitcoin catches a bid,en,[],[],[],242,74,1160,[],[],https://twitter.com/BarrySilbert/status/1574222394457309185,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1573495062910144512,1573472350951145472	,2022-09-24 10:10:31 Malay Peninsula Standard Time,2022-09-24,10:10:31,+0800,396045469,barrysilbert,Barry Silbert,,@balajis that is Horizen $ZEN,en,['balajis'],[],[],50,68,247,[],['ZEN'],https://twitter.com/BarrySilbert/status/1573495062910144512,,,0,,,,,,,,"{'user_id': '2178012643', 'username': 'balajis'}",,,,
1572742590369304578,1572742590369304578	,2022-09-22 08:20:28 Malay Peninsula Standard Time,2022-09-22,08:20:28,+0800,396045469,barrysilbert,Barry Silbert,,"Fortune favors the brave

- Matt Damon",en,[],[],[],327,229,2386,[],[],https://twitter.com/BarrySilbert/status/1572742590369304578,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1571615362122137602,1571615362122137602	,2022-09-19 05:41:16 Malay Peninsula Standard Time,2022-09-19,05:41:16,+0800,396045469,barrysilbert,Barry Silbert,,Going to be a small week,en,[],[],[],368,223,2633,[],[],https://twitter.com/BarrySilbert/status/1571615362122137602,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1569109027879268352,1569109027879268352	,2022-09-12 07:41:59 Malay Peninsula Standard Time,2022-09-12,07:41:59,+0800,396045469,barrysilbert,Barry Silbert,,"No, I'm not going to comment on what type of week this is going to be",en,[],[],[],434,182,2579,[],[],https://twitter.com/BarrySilbert/status/1569109027879268352,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1568210218751770625,1568210218751770625	,2022-09-09 20:10:26 Malay Peninsula Standard Time,2022-09-09,20:10:26,+0800,396045469,barrysilbert,Barry Silbert,,"Crypto’s S&amp;P 500: CoinDesk Unveils Broad-Market, Digital-Asset Index 
https://t.co/LmrTyh9wZT via @coindesk",en,['coindesk'],['https://www.coindesk.com/markets/2022/09/09/cryptos-sp-500-coindesk-unveils-broad-market-digital-asset-index/'],[],72,42,134,[],[],https://twitter.com/BarrySilbert/status/1568210218751770625,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1567865867026710528,1567865404684476420	,2022-09-08 21:22:06 Malay Peninsula Standard Time,2022-09-08,21:22:06,+0800,396045469,barrysilbert,Barry Silbert,,@SBF_FTX and would open the door for BTC and ETH spot-based ETFs...,en,['sbf_ftx'],[],[],21,12,187,[],[],https://twitter.com/BarrySilbert/status/1567865867026710528,,,0,,,,,,,,"{'user_id': '1110877798820777986', 'username': 'SBF_FTX'}",,,,
1558554183023968258,1558517708785958918	,2022-08-14 04:40:48 Malay Peninsula Standard Time,2022-08-14,04:40:48,+0800,396045469,barrysilbert,Barry Silbert,,@Ninjascalp wen boom?,en,['ninjascalp'],[],[],40,6,243,[],[],https://twitter.com/BarrySilbert/status/1558554183023968258,,,0,,,,,,,,"{'user_id': '943958987556507653', 'username': 'Ninjascalp'}",,,,
1558520694035595266,1558517708785958918	,2022-08-14 02:27:44 Malay Peninsula Standard Time,2022-08-14,02:27:44,+0800,396045469,barrysilbert,Barry Silbert,,@Ninjascalp short position fully on yet?,en,['ninjascalp'],[],[],66,7,428,[],[],https://twitter.com/BarrySilbert/status/1558520694035595266,,,0,,,,,,,,"{'user_id': '943958987556507653', 'username': 'Ninjascalp'}",,,,
1557865830360272902,1557864854958280705	,2022-08-12 07:05:32 Malay Peninsula Standard Time,2022-08-12,07:05:32,+0800,396045469,barrysilbert,Barry Silbert,,@inversebrah (takes bow),en,['inversebrah'],[],[],33,10,339,[],[],https://twitter.com/BarrySilbert/status/1557865830360272902,,,0,,,,,,,,"{'user_id': '1051852534518824960', 'username': 'inversebrah'}",,,,
1557732246383079424,1557732246383079424	,2022-08-11 22:14:43 Malay Peninsula Standard Time,2022-08-11,22:14:43,+0800,396045469,barrysilbert,Barry Silbert,,"Fun fact: BlackRock advises and invests money for many of the central banks around the world

Another fun fact: Central banks now have an easy, safe way to invest in bitcoin

https://t.co/Fd9OsXsafr",en,[],['https://www.blackrock.com/institutions/en-zz/our-clients/official-institutions'],[],120,195,868,[],[],https://twitter.com/BarrySilbert/status/1557732246383079424,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1557720893400518656,1557720608623968257	,2022-08-11 21:29:36 Malay Peninsula Standard Time,2022-08-11,21:29:36,+0800,396045469,barrysilbert,Barry Silbert,,@fintechfrank https://t.co/adp8qGSutp,qme,['fintechfrank'],['https://twitter.com/BarrySilbert/status/1352079033035583488'],[],6,6,71,[],[],https://twitter.com/BarrySilbert/status/1557720893400518656,,https://twitter.com/BarrySilbert/status/1352079033035583488,0,,,,,,,,"{'user_id': '2933805082', 'username': 'fintechfrank'}",,,,
1557713186006220801,1557713186006220801	,2022-08-11 20:58:59 Malay Peninsula Standard Time,2022-08-11,20:58:59,+0800,396045469,barrysilbert,Barry Silbert,,Here comes Wall Street...,en,[],[],[],237,174,1800,[],[],https://twitter.com/BarrySilbert/status/1557713186006220801,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
