id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1579289003437588480,1579289003437588480	,2022-10-10 09:53:34 Malay Peninsula Standard Time,2022-10-10,09:53:34,+0800,2361631088,cathiedwood,Cathie Wood,,"Given the accelerated consumer preference shift toward electric vehicles, used car prices and the residual value of all gas powered autos are likely to plummet, causing serious losses in the $1 trillion auto debt market.",en,[],[],[],1515,993,8467,[],[],https://twitter.com/CathieDWood/status/1579289003437588480,,https://twitter.com/skorusARK/status/1578374484196700161,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1577435172592816128,1577435172592816128	,2022-10-05 07:07:07 Malay Peninsula Standard Time,2022-10-05,07:07:07,+0800,2361631088,cathiedwood,Cathie Wood,,"Thrilled to welcome @WClementeIII as guest author of The Bitcoin Monthly, and happy that on-chain analysis is highlighting, on balance, solid fundamental support for bitcoin.",en,['wclementeiii'],[],[],274,248,2076,[],[],https://twitter.com/CathieDWood/status/1577435172592816128,,https://twitter.com/yassineARK/status/1577430197359431681,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1575756080311066624,1575756080311066624	,2022-09-30 15:55:00 Malay Peninsula Standard Time,2022-09-30,15:55:00,+0800,2361631088,cathiedwood,Cathie Wood,,"For those skeptical of our interest rate shock thesis (13.5x increase in the Fed funds rate in this cycle compared to 2x under Volcker), the UK pension fund LDI debacle is proof of concept.",en,[],[],[],287,184,1746,[],[],https://twitter.com/CathieDWood/status/1575756080311066624,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1574513503985348608,1574513481436520461	,2022-09-27 05:37:27 Malay Peninsula Standard Time,2022-09-27,05:37:27,+0800,2361631088,cathiedwood,Cathie Wood,,"Japan’s and China’s dollar sales could be the first sign that “monetary easing” is on the way. The dollar’s parabolic move has been devastating to the rest of the world and should come back to bite US competitiveness, jobs, and  and economic activity, forcing the Fed to pivot.",en,[],[],[],156,167,1360,[],[],https://twitter.com/CathieDWood/status/1574513503985348608,,,0,,,,,,,,"{'user_id': '2361631088', 'username': 'CathieDWood'}",,,,
1574513501066100736,1574513481436520461	,2022-09-27 05:37:26 Malay Peninsula Standard Time,2022-09-27,05:37:26,+0800,2361631088,cathiedwood,Cathie Wood,,"Last week, Japan and China sold dollars to protect their currencies against a parabolic dollar that is causing significant harm to the global economy. In other words, they are starting to “ease” dollar-based monetary policy by putting more dollars into the system.",en,[],[],[],15,62,708,[],[],https://twitter.com/CathieDWood/status/1574513501066100736,,,0,,,,,,,,"{'user_id': '2361631088', 'username': 'CathieDWood'}",,,,
1574513498184245248,1574513481436520461	,2022-09-27 05:37:25 Malay Peninsula Standard Time,2022-09-27,05:37:25,+0800,2361631088,cathiedwood,Cathie Wood,,"By the time this Fed tackled the current surge, inflation had been brewing for ~15 months, not 15 years. Now, it is “keeping at it” with a sledgehammer 13 times more powerful than the one Volcker wielded in the ‘80s. In so doing, the Fed could undermine its legacy.",en,[],[],[],26,32,394,[],[],https://twitter.com/CathieDWood/status/1574513498184245248,,,0,,,,,,,,"{'user_id': '2361631088', 'username': 'CathieDWood'}",,,,
1574513495319760896,1574513481436520461	,2022-09-27 05:37:24 Malay Peninsula Standard Time,2022-09-27,05:37:24,+0800,2361631088,cathiedwood,Cathie Wood,,"The inflation surge in the late seventies/early eighties had been brewing for 15 years, starting with the  Vietnam War and The Great Society social programs in 1964 and exacerbated by the end of the gold-exchange standard in 1971.",en,[],[],[],10,19,299,[],[],https://twitter.com/CathieDWood/status/1574513495319760896,,,0,,,,,,,,"{'user_id': '2361631088', 'username': 'CathieDWood'}",,,,
1574513492689838097,1574513481436520461	,2022-09-27 05:37:24 Malay Peninsula Standard Time,2022-09-27,05:37:24,+0800,2361631088,cathiedwood,Cathie Wood,,A 58% increase in the trade-weighted dollar since early 2008 helps to explain the deflationary forces that are building in the pipeline once again. Most commodities are priced in dollars.,en,[],[],[],4,17,280,[],[],https://twitter.com/CathieDWood/status/1574513492689838097,,,0,,,,,,,,"{'user_id': '2361631088', 'username': 'CathieDWood'}",,,,
1574513489820979205,1574513481436520461	,2022-09-27 05:37:23 Malay Peninsula Standard Time,2022-09-27,05:37:23,+0800,2361631088,cathiedwood,Cathie Wood,,"Meanwhile, commodity prices as measured by Refinitiv’s CRB index have dropped ~42% since their peak in mid 2008, ~25% since their lower peak in 2011, and ~19% since an even lower peak earlier this year.",en,[],[],[],3,17,313,[],[],https://twitter.com/CathieDWood/status/1574513489820979205,,,0,,,,,,,,"{'user_id': '2361631088', 'username': 'CathieDWood'}",,,,
1574513486981480448,1574513481436520461	,2022-09-27 05:37:22 Malay Peninsula Standard Time,2022-09-27,05:37:22,+0800,2361631088,cathiedwood,Cathie Wood,,"Under Volcker, the increase in long Treasury yields was 1.6X, from 10% to 16%, compared to 7.4X, from 0.5% to 3.7% under Powell and team. Risk aversion is pummeling all assets except cash, but the Fed seems fixated on hiking rates another 100+ basis points to protect its legacy.",en,[],[],[],64,24,404,[],[],https://twitter.com/CathieDWood/status/1574513486981480448,,,0,,,,,,,,"{'user_id': '2361631088', 'username': 'CathieDWood'}",,,,
