id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1580695906558496768,1580695906558496768	,2022-10-14 07:04:06 Malay Peninsula Standard Time,2022-10-14,07:04:06,+0800,983993370048630785,cryptohayes,Arthur Hayes,,SNB came running to daddy. They doubled the size of their $ loan to 6 billi. Guess the hole at Credit Suisse keeps getting larger. https://t.co/ncBqsgyc8d,en,[],[],['https://pbs.twimg.com/media/Fe_CjMDWYAECeBs.jpg'],101,202,1037,[],[],https://twitter.com/CryptoHayes/status/1580695906558496768,,,1,https://pbs.twimg.com/media/Fe_CjMDWYAECeBs.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1580567973332324352,1580567973332324352	,2022-10-13 22:35:45 Malay Peninsula Standard Time,2022-10-13,22:35:45,+0800,983993370048630785,cryptohayes,Arthur Hayes,,"Can I see yo ASS-ymptote 😛

Holla at me when q’s sub 10k, hopefully $BTC and $ETH can hold their June lows. 

yachtzee https://t.co/lz50eWRNiD",en,[],[],['https://pbs.twimg.com/media/Fe9OMUoXgAEHbY_.jpg'],45,20,303,[],"['BTC', 'ETH']",https://twitter.com/CryptoHayes/status/1580567973332324352,,,1,https://pbs.twimg.com/media/Fe9OMUoXgAEHbY_.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1580243905496240128,1580243905496240128	,2022-10-13 01:08:01 Malay Peninsula Standard Time,2022-10-13,01:08:01,+0800,983993370048630785,cryptohayes,Arthur Hayes,,Can’t wait to geek out on this. https://t.co/DjPHSyQqCM,en,[],[],['https://pbs.twimg.com/media/Fe4ndKxWAAs1qYD.jpg'],48,46,667,[],[],https://twitter.com/CryptoHayes/status/1580243905496240128,,,1,https://pbs.twimg.com/media/Fe4ndKxWAAs1qYD.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1580177156436819968,1580177156436819968	,2022-10-12 20:42:47 Malay Peninsula Standard Time,2022-10-12,20:42:47,+0800,983993370048630785,cryptohayes,Arthur Hayes,,"Remember in a fiat centralised financial system you are merely renting your stonks, bank balance, and property. 

Long Live Lord Satoshi",en,[],[],[],34,75,700,[],[],https://twitter.com/CryptoHayes/status/1580177156436819968,,https://twitter.com/EpsilonTheory/status/1580021496042647552,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1579986406323019777,1579986406323019777	,2022-10-12 08:04:48 Malay Peninsula Standard Time,2022-10-12,08:04:48,+0800,983993370048630785,cryptohayes,Arthur Hayes,,"Manipulating markets be hard. $20billi spent and a few weeks later the Yen is back to square one. Let’s go 200, daddy needs half off at Jiro. https://t.co/7OyZiS3EW3",en,[],[],['https://pbs.twimg.com/media/Fe09Q1tXEAAcl9Z.jpg'],51,58,844,[],[],https://twitter.com/CryptoHayes/status/1579986406323019777,,,1,https://pbs.twimg.com/media/Fe09Q1tXEAAcl9Z.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1579826961433518081,1579826961433518081	,2022-10-11 21:31:14 Malay Peninsula Standard Time,2022-10-11,21:31:14,+0800,983993370048630785,cryptohayes,Arthur Hayes,,"There is a video, y’all know which one I’m talking about, I haven’t seen it. Does it exist? If so please share.",en,[],[],[],252,47,1093,[],[],https://twitter.com/CryptoHayes/status/1579826961433518081,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1578160674404012034,1578160674404012034	,2022-10-07 07:10:00 Malay Peninsula Standard Time,2022-10-07,07:10:00,+0800,983993370048630785,cryptohayes,Arthur Hayes,,"Oh the horror, what about the children, can they survive the dreaded Yield Curve Control?

""Contagion"" is an essay about how YCC infected the BOE, and how it shall sicken the ECB next.

YCC = $1mio $BTC

https://t.co/jJplyETQsS https://t.co/vMaMKovC2M",en,[],['https://bit.ly/3ypNu3R'],['https://pbs.twimg.com/tweet_video_thumb/FeZmqJgXoAUFK3p.jpg'],135,231,996,[],['BTC'],https://twitter.com/CryptoHayes/status/1578160674404012034,,,1,https://pbs.twimg.com/tweet_video_thumb/FeZmqJgXoAUFK3p.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1578143072671911937,1578143064987963393	,2022-10-07 06:00:03 Malay Peninsula Standard Time,2022-10-07,06:00:03,+0800,983993370048630785,cryptohayes,Arthur Hayes,,"6/
Here is the updated CIX formula for those with bloomies.

FARBAST Index - (RRPQTOON Index * 1000) - CERBTGAN Index + NYRPVOA Index - FARWFOIA Index + FESLTOTL Index",en,[],[],[],21,8,193,[],[],https://twitter.com/CryptoHayes/status/1578143072671911937,,,0,,,,,,,,"{'user_id': '983993370048630785', 'username': 'CryptoHayes'}",,,,
1578143071383920641,1578143064987963393	,2022-10-07 06:00:03 Malay Peninsula Standard Time,2022-10-07,06:00:03,+0800,983993370048630785,cryptohayes,Arthur Hayes,,"5/
Therefore I'm updating my $ liq index, if &lt;FESLTOTL Index&gt; increases it's +ve for $ liq. That's a bloomie ticker, I'm not sure if it's captured in other charting software.",en,[],[],[],4,0,107,[],[],https://twitter.com/CryptoHayes/status/1578143071383920641,,,0,,,,,,,,"{'user_id': '983993370048630785', 'username': 'CryptoHayes'}",,,,
1578143070063058944,1578143064987963393	,2022-10-07 06:00:03 Malay Peninsula Standard Time,2022-10-07,06:00:03,+0800,983993370048630785,cryptohayes,Arthur Hayes,,"4/
This is a tried and true way for the Fed to print dollars without printing dollars. I double checked the balance sheet and didn't find a line item for this facility, but pls correct me if I'm wrong. I don't want to double dip.",en,[],[],[],4,4,135,[],[],https://twitter.com/CryptoHayes/status/1578143070063058944,,,0,,,,,,,,"{'user_id': '983993370048630785', 'username': 'CryptoHayes'}",,,,
