id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1580612533374763008,1580612533374763008	,2022-10-14 01:32:48 Malay Peninsula Standard Time,2022-10-14,01:32:48,+0800,613649581,hesterpeirce,Hester Peirce,,"This week, I’ve provided thoughts on WORM, fish, and a most important ecosystem:
WORM:  https://t.co/cXXZC1tgeN 
FISH:  https://t.co/NUyG8TT647  
ECOSYSTEM: https://t.co/cVsCTSC9rV",en,[],"['https://bit.ly/3ECmnGI', 'https://bit.ly/3enXPqt', 'https://www.sec.gov/news/statement/peirce-sbcfac-20221013']",[],100,5,41,[],[],https://twitter.com/HesterPeirce/status/1580612533374763008,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1578478804145577984,1578478804145577984	,2022-10-08 04:14:08 Malay Peninsula Standard Time,2022-10-08,04:14:08,+0800,613649581,hesterpeirce,Hester Peirce,,Everyone who has commented recently on an SEC rule should take a look at this statement and double-check that your comment is in the relevant public comment file: https://t.co/1L2SYhq3VR,en,[],['https://www.sec.gov/news/press-release/2022-186'],[],337,43,175,[],[],https://twitter.com/HesterPeirce/status/1578478804145577984,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1577009186520518656,1576922201357537282	,2022-10-04 02:54:24 Malay Peninsula Standard Time,2022-10-04,02:54:24,+0800,613649581,hesterpeirce,Hester Peirce,,@NizanGP @SECGov @CFTC Thanks @NizanGP for the conversation.,en,"['nizangp', 'secgov', 'cftc', 'nizangp']",[],[],0,1,5,[],[],https://twitter.com/HesterPeirce/status/1577009186520518656,,,0,,,,,,,,"{'user_id': '705459177196490753', 'username': 'NizanGP'}",,,,
1571970337197137926,1571970337197137926	,2022-09-20 05:11:48 Malay Peninsula Standard Time,2022-09-20,05:11:48,+0800,613649581,hesterpeirce,Hester Peirce,,A new staff study on mutual fund performance benchmarks was added to the comment file for the comment file for the tailored shareholder reports rulemaking proposal: https://t.co/6OWkkMSSLH,en,[],['https://www.sec.gov/news/press-release/2022-165'],[],222,3,30,[],[],https://twitter.com/HesterPeirce/status/1571970337197137926,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1570160597190451200,1570160597190451200	,2022-09-15 05:20:33 Malay Peninsula Standard Time,2022-09-15,05:20:33,+0800,613649581,hesterpeirce,Hester Peirce,,Today we proposed changes related to the Treasury market.  I have some questions about the consequences of and alternatives to the proposed approach: https://t.co/eOPEng1A4z and https://t.co/5JbT0mQnd7,en,[],"['https://www.sec.gov/news/statement/peirce-statement-treasury-clearing-09142022', 'https://www.sec.gov/files/34-95763-fact-sheet.pdf']",[],101,5,46,[],[],https://twitter.com/HesterPeirce/status/1570160597190451200,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1569766066540236801,1569766066540236801	,2022-09-14 03:12:49 Malay Peninsula Standard Time,2022-09-14,03:12:49,+0800,613649581,hesterpeirce,Hester Peirce,,"I plan to be in South Carolina on October 5-6.  If you want to meet with me, please email CommissionerPeirce@sec.gov with South Carolina in the subject line and the non-enforcement-action topic you want to discuss in the body of the email.",en,[],[],[],98,8,49,[],[],https://twitter.com/HesterPeirce/status/1569766066540236801,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1569765233270341633,1569765233270341633	,2022-09-14 03:09:31 Malay Peninsula Standard Time,2022-09-14,03:09:31,+0800,613649581,hesterpeirce,Hester Peirce,,"SEC Commissioner Mark Uyeda is right that ""regulation through enforcement does not yield the outcomes achievable through a process that involves public comment.""  https://t.co/EhL597qKpg Scattershot enforcement actions aren't the best way to protect investors.",en,[],['https://www.sec.gov/news/speech/uyeda-speech-sec-speaks-090922'],[],467,284,1245,[],[],https://twitter.com/HesterPeirce/status/1569765233270341633,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1559254286126678016,1559254286126678016	,2022-08-16 03:02:46 Malay Peninsula Standard Time,2022-08-16,03:02:46,+0800,613649581,hesterpeirce,Hester Peirce,,"Congratulations to our two newest regional office directors, Monique Winkler (San Francisco) and Nick Grippo (Philadelphia): https://t.co/dyHwubXScF and https://t.co/ySGOhesaFo",en,[],"['https://www.sec.gov/news/press-release/2022-144', 'https://www.sec.gov/news/press-release/2022-143']",[],140,7,26,[],[],https://twitter.com/HesterPeirce/status/1559254286126678016,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1558201365125632001,1558197957580754946	,2022-08-13 05:18:50 Malay Peninsula Standard Time,2022-08-13,05:18:50,+0800,613649581,hesterpeirce,Hester Peirce,,"@SECGov Congratulations, Lori!",ro,['secgov'],[],[],28,1,12,[],[],https://twitter.com/HesterPeirce/status/1558201365125632001,,,0,,,,,,,,"{'user_id': '18481050', 'username': 'SECGov'}",,,,
1556692115295543296,1556692115295543296	,2022-08-09 01:21:36 Malay Peninsula Standard Time,2022-08-09,01:21:36,+0800,613649581,hesterpeirce,Hester Peirce,,"Clearing agency governance is important and difficult to get right, but the SEC's proposed stakeholder approach could cause clearing agency boards to lose their focus: https://t.co/CJcEa6zRsy and https://t.co/O58lfrQ1X1",en,[],"['https://www.sec.gov/news/statement/peirce-statement-clearing-agency-governance-and-conflicts-interest-080822', 'https://www.sec.gov/rules/proposed/2022/34-95431.pdf']",[],166,7,39,[],[],https://twitter.com/HesterPeirce/status/1556692115295543296,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
