id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1578045957899444224,1578045957899444224	,2022-10-06 23:34:09 Malay Peninsula Standard Time,2022-10-06,23:34:09,+0800,47003920,jchervinsky,Jake Chervinsky,,"After the Merge, some crypto skeptics floated the idea that staking somehow makes ETH a security. It doesn't.

In this article, my co-authors (@RSSH273 + @aixiicee) and I explain why Ethereum's switch to proof-of-stake doesn't trigger the securities laws:
https://t.co/X2ME6vOL6l",en,"['rssh273', 'aixiicee']",['https://www.paradigm.xyz/2022/10/ethereums-new-staking-model-does-not-make-eth-a-security'],[],52,114,404,[],[],https://twitter.com/jchervinsky/status/1578045957899444224,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1576232926194192384,1576231103144538113	,2022-10-01 23:29:49 Malay Peninsula Standard Time,2022-10-01,23:29:49,+0800,47003920,jchervinsky,Jake Chervinsky,,"@_lonedd @CryptoLawUS @TornadoCash If he did, then the government needs to make that allegation and then back it up with evidence. The burden of proof is and must be on the jailers.",en,"['_lonedd', 'cryptolawus', 'tornadocash']",[],[],1,1,35,[],[],https://twitter.com/jchervinsky/status/1576232926194192384,,,0,,,,,,,,"{'user_id': '945973020585332736', 'username': '_lonedd'}",,,,
1576231103144538113,1576231103144538113	,2022-10-01 23:22:34 Malay Peninsula Standard Time,2022-10-01,23:22:34,+0800,47003920,jchervinsky,Jake Chervinsky,,"It is shocking and disturbing that @TornadoCash developer Alexey Pertsev is still being held in custody even though the authorities haven't told anyone why, and possibly for the mere act of writing code. This isn't a crypto issue, it's a human rights issue.",en,['tornadocash'],[],[],86,274,999,[],[],https://twitter.com/jchervinsky/status/1576231103144538113,,https://twitter.com/valkenburgh/status/1575919495323201536,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1575516609011384322,1575516609011384322	,2022-09-30 00:03:25 Malay Peninsula Standard Time,2022-09-30,00:03:25,+0800,47003920,jchervinsky,Jake Chervinsky,,"Important new data on the growing role that crypto plays in electoral politics, especially in swing states this November. Tldr, a lot of likely voters on both sides of the aisle own digital assets and care deeply about crypto policy. Great work by @TomicahTD and @chrislehane 👏",en,"['tomicahtd', 'chrislehane']",[],[],8,22,101,[],[],https://twitter.com/jchervinsky/status/1575516609011384322,,https://twitter.com/HaunVentures/status/1575484752991162369,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1575260705997131777,1575252763231064079	,2022-09-29 07:06:33 Malay Peninsula Standard Time,2022-09-29,07:06:33,+0800,47003920,jchervinsky,Jake Chervinsky,,"To clarify: this is a complaint, not a settlement.

The SEC talks a lot about airdrops, but then only seems to argue that distributions via direct sales, bounty programs, and employee compensation are securities transactions.

So, their novel theory on airdrops can't be tested.",en,[],[],[],15,22,165,[],[],https://twitter.com/jchervinsky/status/1575260705997131777,,,0,,,,,,,,"{'user_id': '47003920', 'username': 'jchervinsky'}",,,,
1575252763231064079,1575252763231064079	,2022-09-29 06:35:00 Malay Peninsula Standard Time,2022-09-29,06:35:00,+0800,47003920,jchervinsky,Jake Chervinsky,,"Another day, another case of SEC regulation by enforcement.

This time, they say airdrops meet the Howey test's ""investment of money"" prong, even if no one makes an investment and no money changes hands.

Just remember, SEC settlements are not settled law.
https://t.co/Pt5jsxcYRB",en,[],['https://www.sec.gov/news/press-release/2022-175'],[],66,182,818,[],[],https://twitter.com/jchervinsky/status/1575252763231064079,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1575183136639832064,1575175953268953088	,2022-09-29 01:58:19 Malay Peninsula Standard Time,2022-09-29,01:58:19,+0800,47003920,jchervinsky,Jake Chervinsky,,@cryptonumerist @jerrybrito @coincenter @valkenburgh @KMSmithDC We're working instead of tweeting.,en,"['cryptonumerist', 'jerrybrito', 'coincenter', 'valkenburgh', 'kmsmithdc']",[],[],0,0,3,[],[],https://twitter.com/jchervinsky/status/1575183136639832064,,,0,,,,,,,,"{'user_id': '1369990022292664323', 'username': 'cryptonumerist'}",,,,
1574908537662226435,1574900998551719936	,2022-09-28 07:47:10 Malay Peninsula Standard Time,2022-09-28,07:47:10,+0800,47003920,jchervinsky,Jake Chervinsky,,@mikedotwaves I liked this tweet to show support 😊,en,['mikedotwaves'],[],[],0,0,2,[],[],https://twitter.com/jchervinsky/status/1574908537662226435,,,0,,,,,,,,"{'user_id': '894994051698532352', 'username': 'mikedotwaves'}",,,,
1574908284397559808,1574852652776755203	,2022-09-28 07:46:10 Malay Peninsula Standard Time,2022-09-28,07:46:10,+0800,47003920,jchervinsky,Jake Chervinsky,,@MiningHabit @punk6529 @naval https://t.co/CYhmzn9wiV,qme,"['mininghabit', 'punk6529', 'naval']",['https://twitter.com/naval/status/1109704032204009473?t=ItFsP2AMlaEx9338PQ_53w&s=19'],[],1,0,2,[],[],https://twitter.com/jchervinsky/status/1574908284397559808,,https://twitter.com/naval/status/1109704032204009473?t=ItFsP2AMlaEx9338PQ_53w&s=19,0,,,,,,,,"{'user_id': '52553298', 'username': 'MiningHabit'}",,,,
1574749800247042048,1574749800247042048	,2022-09-27 21:16:24 Malay Peninsula Standard Time,2022-09-27,21:16:24,+0800,47003920,jchervinsky,Jake Chervinsky,,"Public policy will have a huge impact on the future of crypto, so it's critical that we—the industry and the community—have as much impact on public policy as we can. I'm proud to advance that mission with over 100 of the best crypto companies in the USA. The future is bright. ☀️",en,[],[],[],8,22,156,[],[],https://twitter.com/jchervinsky/status/1574749800247042048,,https://twitter.com/BlockchainAssn/status/1574739451888209924,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
