id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1578615260642037761,1576984869023862784	,2022-10-08 13:16:22 Malay Peninsula Standard Time,2022-10-08,13:16:22,+0800,857994826230374401,katie_haun,Kathryn Haun,,"@emilychangtv @HaunVentures Always so fun to sit down with you, Emily. Thanks for having me!",en,"['emilychangtv', 'haunventures']",[],[],0,0,5,[],[],https://twitter.com/katie_haun/status/1578615260642037761,,,0,,,,,,,,"{'user_id': '74130577', 'username': 'emilychangtv'}",,,,
1575951946753581056,1575916319370727425	,2022-10-01 04:53:18 Malay Peninsula Standard Time,2022-10-01,04:53:18,+0800,857994826230374401,katie_haun,Kathryn Haun,,@RachaelRad 😃👏,und,['rachaelrad'],[],[],0,0,3,[],[],https://twitter.com/katie_haun/status/1575951946753581056,,,0,,,,,,,,"{'user_id': '22824309', 'username': 'RachaelRad'}",,,,
1575277148373295104,1575277148373295104	,2022-09-29 08:11:54 Malay Peninsula Standard Time,2022-09-29,08:11:54,+0800,857994826230374401,katie_haun,Kathryn Haun,,"More by @chrislehane and @TomicahTD on why regulation by enforcement continues to be a bad idea. And once again, some unfortunate facts are creating extremely bad precedent that will chill innovation and participation in the space.",en,"['chrislehane', 'tomicahtd']",[],[],6,7,28,[],[],https://twitter.com/katie_haun/status/1575277148373295104,,https://twitter.com/HaunVentures/status/1575163975347470343,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1572279310123409408,1572218634839396352	,2022-09-21 01:39:33 Malay Peninsula Standard Time,2022-09-21,01:39:33,+0800,857994826230374401,katie_haun,Kathryn Haun,,"@apruden08 @1HowardWu @ChinCollin @danboneh @balajis @emiliemc @alive_eth @AriannaSimpson @eddylazzarin @jessewldn @richardchen39 @AnnaRRose Congrats Alex! So well deserved!! Couldn't be happier for you, @1HowardWu and the entire @AleoHQ team🤸🤸‍♀️🤸‍♂️",en,"['apruden08', '1howardwu', 'chincollin', 'danboneh', 'balajis', 'emiliemc', 'alive_eth', 'ariannasimpson', 'eddylazzarin', 'jessewldn', 'richardchen39', 'annarrose', '1howardwu', 'aleohq']",[],[],0,0,4,[],[],https://twitter.com/katie_haun/status/1572279310123409408,,,0,,,,,,,,"{'user_id': '3430235213', 'username': 'apruden08'}",,,,
1570586385844965376,1570586385844965376	,2022-09-16 09:32:29 Malay Peninsula Standard Time,2022-09-16,09:32:29,+0800,857994826230374401,katie_haun,Kathryn Haun,,"Congratulations to the Ethereum community on the merge. This achievement is not only a milestone for crypto but is a win for those who believe in open source and the idea that communities can build robust, sustainable software that matters to the world.",en,[],[],[],13,9,93,[],[],https://twitter.com/katie_haun/status/1570586385844965376,,https://twitter.com/sjrosenblum/status/1570576605034188800,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1570454885216456709,1570443674454224902	,2022-09-16 00:49:56 Malay Peninsula Standard Time,2022-09-16,00:49:56,+0800,857994826230374401,katie_haun,Kathryn Haun,,@RachaelRad @brxckinridge was wondering who drew that!!,en,"['rachaelrad', 'brxckinridge']",[],[],1,0,3,[],[],https://twitter.com/katie_haun/status/1570454885216456709,,,0,,,,,,,,"{'user_id': '22824309', 'username': 'RachaelRad'}",,,,
1567350829090508804,1567350829090508804	,2022-09-07 11:15:32 Malay Peninsula Standard Time,2022-09-07,11:15:32,+0800,857994826230374401,katie_haun,Kathryn Haun,,"Tornado Cash: Is freedom of speech the best legal defense for a smart contract? Other areas of 1A law might be more applicable. Why is no one talking about 4A (one that protects right to privacy) and other doctrines?

Some takeaways for those in web3 
https://t.co/cpXgDoFXFb",en,[],['https://mirror.xyz/haunventures.eth/E-iD-jqgD-WmqrZOjCnGjv6U-R_N5tUk8xPzxUHhQGc'],[],67,214,836,[],[],https://twitter.com/katie_haun/status/1567350829090508804,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1562854069957365760,1562854069957365760	,2022-08-26 01:27:01 Malay Peninsula Standard Time,2022-08-26,01:27:01,+0800,857994826230374401,katie_haun,Kathryn Haun,,"Welcome team @thirdweb_ to @HaunVentures portfolio! We were so impressed by @FurqanR &amp; @SteveBartlettSC from the moment we met them. Experienced, proven founders will have a big role to play in crypto’s next chapter
 
More from @ahnchrisj &amp; @brxckinridge👇
https://t.co/ayqLxHlOry",en,"['thirdweb_', 'haunventures', 'furqanr', 'stevebartlettsc', 'ahnchrisj', 'brxckinridge']",['https://mirror.xyz/haunventures.eth/QM7SJXllqLByVJq5ZnCzRsBJGGgCWU_vuEhs5zgithE'],[],7,9,67,[],[],https://twitter.com/katie_haun/status/1562854069957365760,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1559275350382637056,1559275350382637056	,2022-08-16 04:26:28 Malay Peninsula Standard Time,2022-08-16,04:26:28,+0800,857994826230374401,katie_haun,Kathryn Haun,,"Always been inspired by @serenawilliams and this essay is just one example of why. She’s the GOAT and yet who can’t relate to what she expresses here about how uncomfortable evolution can be? Can't wait to see where *all* her endeavors, @SerenaVentures included, go next! 💫🏆✨",en,"['serenawilliams', 'serenaventures']",[],[],8,0,28,[],[],https://twitter.com/katie_haun/status/1559275350382637056,,https://twitter.com/voguemagazine/status/1556986036215025664,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1559195578025664513,1559195578025664513	,2022-08-15 23:09:28 Malay Peninsula Standard Time,2022-08-15,23:09:28,+0800,857994826230374401,katie_haun,Kathryn Haun,,"West Virginia v. EPA may not at first glance appear to be too consequential for the tech industry specifically, but this SCOTUS decision actually has big implications — especially for web3. Read why in our team’s analysis👇

https://t.co/uC37TrEzQu",en,[],['https://mirror.xyz/haunventures.eth/eHHX2-cG5pqB-frgB2qJBwnQDcnXT8Of92XRVzRDRYA'],[],3,7,28,[],[],https://twitter.com/katie_haun/status/1559195578025664513,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
