id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1580448291094818817,1580258488684400640	,2022-10-13 14:40:10 Malay Peninsula Standard Time,2022-10-13,14:40:10,+0800,13418472,woonomic,Willy Woo,,"To clarify, these are unique users, not addresses.

Early data is via @glassnode on-chain forensics, addresses clustered into users according to historic behaviour. Users emptying their wallets are removed from the count.

Then add unique ID-verified exchange accounts &amp; de-dupe.",en,['glassnode'],[],[],37,18,201,[],[],https://twitter.com/woonomic/status/1580448291094818817,,,0,,,,,,,,"{'user_id': '13418472', 'username': 'woonomic'}",,,,
1580445206117113856,1580258488684400640	,2022-10-13 14:27:55 Malay Peninsula Standard Time,2022-10-13,14:27:55,+0800,13418472,woonomic,Willy Woo,,"@RealCryptotem The early on-chain user data before exchanges became dominant circa 2016 takes into account churn, users emptying their cluster of wallets would not be counted. 2016 onwards we layer in unique ID verified users at the exchanges, no visibility if they have emptied their wallets.",en,['realcryptotem'],[],[],1,1,2,[],[],https://twitter.com/woonomic/status/1580445206117113856,,,0,,,,,,,,"{'user_id': '957714984305397761', 'username': 'RealCryptotem'}",,,,
1580442165456515073,1580258488684400640	,2022-10-13 14:15:50 Malay Peninsula Standard Time,2022-10-13,14:15:50,+0800,13418472,woonomic,Willy Woo,,@mattcsnow Yes,und,['mattcsnow'],[],[],0,1,1,[],[],https://twitter.com/woonomic/status/1580442165456515073,,,0,,,,,,,,"{'user_id': '4697295547', 'username': 'mattcsnow'}",,,,
1580293838513414147,1580258488684400640	,2022-10-13 04:26:26 Malay Peninsula Standard Time,2022-10-13,04:26:26,+0800,13418472,woonomic,Willy Woo,,"@Umpalimpi1 If a central bank holds a vault full of gold under lock and key, armed guards, paying salaries and rent to hold it, and the gold never moves is the gold serving a use case for the bank?",en,['umpalimpi1'],[],[],6,6,93,[],[],https://twitter.com/woonomic/status/1580293838513414147,,,0,,,,,,,,"{'user_id': '1375990329619460097', 'username': 'Umpalimpi1'}",,,,
1580286245007024131,1580258488684400640	,2022-10-13 03:56:15 Malay Peninsula Standard Time,2022-10-13,03:56:15,+0800,13418472,woonomic,Willy Woo,,@StefanPatatu @TrueCrypto28 How would you collect your winnings shorting it given that would be armageddon.,en,"['stefanpatatu', 'truecrypto28']",[],[],3,3,15,[],[],https://twitter.com/woonomic/status/1580286245007024131,,,0,,,,,,,,"{'user_id': '128051393', 'username': 'StefanPatatu'}",,,,
1580268155988897792,1580258488684400640	,2022-10-13 02:44:23 Malay Peninsula Standard Time,2022-10-13,02:44:23,+0800,13418472,woonomic,Willy Woo,,"@AndrewjCardin It's still using the last benchmark study by CCAF, but then projected forward, and sanity checked by latest Coinbase user growth numbers.",en,['andrewjcardin'],[],[],3,2,18,[],[],https://twitter.com/woonomic/status/1580268155988897792,,,0,,,,,,,,"{'user_id': '3168072490', 'username': 'AndrewjCardin'}",,,,
1580267552512495622,1580258488684400640	,2022-10-13 02:41:59 Malay Peninsula Standard Time,2022-10-13,02:41:59,+0800,13418472,woonomic,Willy Woo,,@KingJulianIAm https://t.co/m1o2rMFfck,qme,['kingjulianiam'],['https://twitter.com/woonomic/status/1356320513828683778?s=20&t=agt-0UWXIEE_3-4gGpOPWg'],[],2,1,3,[],[],https://twitter.com/woonomic/status/1580267552512495622,,https://twitter.com/woonomic/status/1356320513828683778?s=20&t=agt-0UWXIEE_3-4gGpOPWg,0,,,,,,,,"{'user_id': '319980816', 'username': 'KingJulianIAm'}",,,,
1580258490953580544,1580258488684400640	,2022-10-13 02:05:58 Malay Peninsula Standard Time,2022-10-13,02:05:58,+0800,13418472,woonomic,Willy Woo,,"Twitter has 400m users (mainly bots 🤣)
PayPal has 430m users

Source:
https://t.co/DrjPNZ0oW1",en,[],['https://twitter.com/woonomic/status/1356310219215699968?s=20&t=mSrHnilFy85huvJ9ksLYzA'],[],22,34,463,[],[],https://twitter.com/woonomic/status/1580258490953580544,,https://twitter.com/woonomic/status/1356310219215699968?s=20&t=mSrHnilFy85huvJ9ksLYzA,0,,,,,,,,"{'user_id': '13418472', 'username': 'woonomic'}",,,,
1580258488684400640,1580258488684400640	,2022-10-13 02:05:58 Malay Peninsula Standard Time,2022-10-13,02:05:58,+0800,13418472,woonomic,Willy Woo,,"#Bitcoin took 6 months to get 1000 users; 5 years to find 1 million users.

Today, 13.8 years from inception, it has 300m+ users, 4% of the world. 

At current growth rates, 1 billion users will be hit in the next 3 years. That's 12% of the world. https://t.co/akMbNySaGw",en,[],[],['https://pbs.twimg.com/media/Fe4v9RNUYAAexpP.jpg'],891,2013,6150,['bitcoin'],[],https://twitter.com/woonomic/status/1580258488684400640,,,1,https://pbs.twimg.com/media/Fe4v9RNUYAAexpP.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1579968626245136384,1579961682540888064	,2022-10-12 06:54:09 Malay Peninsula Standard Time,2022-10-12,06:54:09,+0800,13418472,woonomic,Willy Woo,,"@Agent_E__ Mismatches in the CT article.. 

Hard numbers from Chivo: 2.5m downloaded it -&gt; 40% of population.

NBER cited 40% of downloaders continued to use it past the free $30 airdrop -&gt; 50% of the population.

The former looks more accurate which is what I cited.",en,['agent_e__'],[],[],2,1,10,[],[],https://twitter.com/woonomic/status/1579968626245136384,,,0,,,,,,,,"{'user_id': '1518671190570770432', 'username': 'Agent_E__'}",,,,
1579961685829648390,1579961682540888064	,2022-10-12 06:26:34 Malay Peninsula Standard Time,2022-10-12,06:26:34,+0800,13418472,woonomic,Willy Woo,,"source:

~36% of adults have bank accounts
https://t.co/KT8MJeuVr9

~70% of the population are adults
https://t.co/gGGRO1IB6C",en,[],"['https://www.statista.com/statistics/1011424/el-salvador-bank-account-ownership-rate-type/', 'https://www.indexmundi.com/el_salvador/demographics_profile.html']",[],8,11,143,[],[],https://twitter.com/woonomic/status/1579961685829648390,,,0,,,,,,,,"{'user_id': '13418472', 'username': 'woonomic'}",,,,
1579961683984154625,1579961682540888064	,2022-10-12 06:26:34 Malay Peninsula Standard Time,2022-10-12,06:26:34,+0800,13418472,woonomic,Willy Woo,,"source:
6.5m million citizens
2.6m Chivo users
20% of citizens continued to use Chivo after their free $30 bonus

https://t.co/0Oyhx0hFKU",en,[],['https://cointelegraph.com/news/el-salvador-bitcoin-wallet-shows-strong-sign-of-adoption-exec-says'],[],7,18,199,[],[],https://twitter.com/woonomic/status/1579961683984154625,,,0,,,,,,,,"{'user_id': '13418472', 'username': 'woonomic'}",,,,
1579961682540888064,1579961682540888064	,2022-10-12 06:26:34 Malay Peninsula Standard Time,2022-10-12,06:26:34,+0800,13418472,woonomic,Willy Woo,,"El Salvador #Bitcoin adoption nearly matched its banking adoption in its first 8 months since launch.

Of the total population...
40% downloaded Chivo Wallet
20% continued to use it (May 2022)
25% have bank accounts (2021)

The Bitcoin launch was Sep 2021.",en,[],[],[],119,164,1105,['bitcoin'],[],https://twitter.com/woonomic/status/1579961682540888064,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1579248645429682176,1578518712319062016	,2022-10-10 07:13:12 Malay Peninsula Standard Time,2022-10-10,07:13:12,+0800,13418472,woonomic,Willy Woo,,"@BillyBlacklight Example user experience booking air tickets while away from home:

- 1st site failed payment, no explanation 
- 2nd site accepted, later emailed asking for a US card. 
- 3rd service after 5 phone calls asked for a photo of ID next to the physical card

Took 3 days.",en,['billyblacklight'],[],[],0,1,1,[],[],https://twitter.com/woonomic/status/1579248645429682176,,,0,,,,,,,,"{'user_id': '19226899', 'username': 'BillyBlacklight'}",,,,
1578538952130060289,1578515974588071937	,2022-10-08 08:13:08 Malay Peninsula Standard Time,2022-10-08,08:13:08,+0800,13418472,woonomic,Willy Woo,,@WClementeIII I guess that’s a lot of responsibility that BitGo holds. Now owned by Galaxy. This is decentralised finance 2022.,en,['wclementeiii'],[],[],8,7,96,[],[],https://twitter.com/woonomic/status/1578538952130060289,,,0,,,,,,,,"{'user_id': '1270906326823186432', 'username': 'WClementeIII'}",,,,
1578518712319062016,1578518712319062016	,2022-10-08 06:52:43 Malay Peninsula Standard Time,2022-10-08,06:52:43,+0800,13418472,woonomic,Willy Woo,,"The credit card security model:

- Give private key to the merchant

- Merchant deducts your wallet with your private key

What could possibly go wrong?

Credit cards do $4T of transactions per year.",en,[],[],[],70,89,648,[],[],https://twitter.com/woonomic/status/1578518712319062016,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1577869537617543168,1577791413248475137	,2022-10-06 11:53:07 Malay Peninsula Standard Time,2022-10-06,11:53:07,+0800,13418472,woonomic,Willy Woo,,@ki_young_ju We are all students ;),en,['ki_young_ju'],[],[],4,3,72,[],[],https://twitter.com/woonomic/status/1577869537617543168,,,0,,,,,,,,"{'user_id': '302505363', 'username': 'ki_young_ju'}",,,,
1577827638764183553,1577827638764183553	,2022-10-06 09:06:38 Malay Peninsula Standard Time,2022-10-06,09:06:38,+0800,13418472,woonomic,Willy Woo,,"On BTC’s tight correlation to risk-on equities, this correlation is there but can wax and wane.

During bears, institutional risk on/off trading dominates price via futures markets. In bottoms and bulls, spot capital from investors return, opening opportunities to decouple.",en,[],[],[],52,72,599,[],[],https://twitter.com/woonomic/status/1577827638764183553,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1577816854587879425,1577712604784594948	,2022-10-06 08:23:47 Malay Peninsula Standard Time,2022-10-06,08:23:47,+0800,13418472,woonomic,Willy Woo,,@alifarhat79 The British IRS was the reason the pilgrims left the old world. They became Americans and created the land of the free and then innovated with creating the US IRS.,en,['alifarhat79'],[],[],23,29,470,[],[],https://twitter.com/woonomic/status/1577816854587879425,,,0,,,,,,,,"{'user_id': '105852422', 'username': 'alifarhat79'}",,,,
1577809974096384000,1577791413248475137	,2022-10-06 07:56:26 Malay Peninsula Standard Time,2022-10-06,07:56:26,+0800,13418472,woonomic,Willy Woo,,"@ki_young_ju The second spike was miners shutting off in China and block times slowing down, that freaked the market, and everyone bidded up the fee to get their collateral into exchanges to fend off liquidation or in some cases to sell. Of course there was only so many blocks being processed",en,['ki_young_ju'],[],[],3,4,133,[],[],https://twitter.com/woonomic/status/1577809974096384000,,,0,,,,,,,,"{'user_id': '302505363', 'username': 'ki_young_ju'}",,,,
1577805041385152512,1577737639964598272	,2022-10-06 07:36:50 Malay Peninsula Standard Time,2022-10-06,07:36:50,+0800,13418472,woonomic,Willy Woo,,@ThormeyerLeo Apologies. Fiat has an inflation bug.,en,['thormeyerleo'],[],[],1,1,4,[],[],https://twitter.com/woonomic/status/1577805041385152512,,,0,,,,,,,,"{'user_id': '965236043363639301', 'username': 'ThormeyerLeo'}",,,,
1577737639964598272,1577737639964598272	,2022-10-06 03:09:00 Malay Peninsula Standard Time,2022-10-06,03:09:00,+0800,13418472,woonomic,Willy Woo,,"This will be my first in-person event since the pandemic. Come join us in Lugano, Switzerland, and support the city adopt #Bitcoin. Some great people coming.",en,[],[],[],41,55,542,['bitcoin'],[],https://twitter.com/woonomic/status/1577737639964598272,,https://twitter.com/LuganoPlanB/status/1577569486785355776,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1576789527313600512,1576789521462489088	,2022-10-03 12:21:33 Malay Peninsula Standard Time,2022-10-03,12:21:33,+0800,13418472,woonomic,Willy Woo,,"Inside baseball...

It used to be OGs would dump their coins into the bear market. You see this in the red zones.

In this cycle we aren't seeing any of the historic selling. It could be they are hedging on futures, and the OGs this time around are hedge funds from 2020. https://t.co/iNCaxeM0xu",en,[],[],['https://pbs.twimg.com/media/FeHd2wJaMAAChkA.jpg'],36,41,365,[],[],https://twitter.com/woonomic/status/1576789527313600512,,,1,https://pbs.twimg.com/media/FeHd2wJaMAAChkA.jpg,,,,,,,"{'user_id': '13418472', 'username': 'woonomic'}",,,,
1576789524134305794,1576789521462489088	,2022-10-03 12:21:32 Malay Peninsula Standard Time,2022-10-03,12:21:32,+0800,13418472,woonomic,Willy Woo,,"Past cycles bottomed when approx 60% of the coins traded below their purchase price. 

Will we hit this again? I don't know.

The structure of this current market this time around is very different.",en,[],[],[],13,26,345,[],[],https://twitter.com/woonomic/status/1576789524134305794,,,0,,,,,,,,"{'user_id': '13418472', 'username': 'woonomic'}",,,,
1576789521462489088,1576789521462489088	,2022-10-03 12:21:31 Malay Peninsula Standard Time,2022-10-03,12:21:31,+0800,13418472,woonomic,Willy Woo,,This is one way of visualising maximum pain. https://t.co/H2F8A96uuM,en,[],[],['https://pbs.twimg.com/media/FeHb3J9aUAIs2i4.jpg'],102,277,1483,[],[],https://twitter.com/woonomic/status/1576789521462489088,,,1,https://pbs.twimg.com/media/FeHb3J9aUAIs2i4.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1576600514770313219,1576588831469338625	,2022-10-02 23:50:29 Malay Peninsula Standard Time,2022-10-02,23:50:29,+0800,13418472,woonomic,Willy Woo,,"@APompliano A product of the Long Now Foundation, dating back to the 1990s. The clock is there to inspire humanity to think long term / low time preference. They have had many thought provoking talks through the years. Back in the day it was like TEDTalks but 1hr format plus an hour of Q&amp;A.",en,['apompliano'],[],[],6,1,101,[],[],https://twitter.com/woonomic/status/1576600514770313219,,,0,,,,,,,,"{'user_id': '339061487', 'username': 'APompliano'}",,,,
1575531944183373825,1575379259400470528	,2022-09-30 01:04:22 Malay Peninsula Standard Time,2022-09-30,01:04:22,+0800,13418472,woonomic,Willy Woo,,@balajis My biggest takeaway: shows the substandard nature of the 4 option limit in a Twitter poll,en,['balajis'],[],[],3,0,29,[],[],https://twitter.com/woonomic/status/1575531944183373825,,,0,,,,,,,,"{'user_id': '2178012643', 'username': 'balajis'}",,,,
1574460823589703680,1574139742270017537	,2022-09-27 02:08:07 Malay Peninsula Standard Time,2022-09-27,02:08:07,+0800,13418472,woonomic,Willy Woo,,"@timevalueofbtc Thanks for giving the talk Nik, sorry I had to leave early. Would have been nice to chat after.",en,['timevalueofbtc'],[],[],3,2,37,[],[],https://twitter.com/woonomic/status/1574460823589703680,,,0,,,,,,,,"{'user_id': '999492441513148416', 'username': 'timevalueofbtc'}",,,,
1573915493894791169,1573634836018958338	,2022-09-25 14:01:10 Malay Peninsula Standard Time,2022-09-25,14:01:10,+0800,13418472,woonomic,Willy Woo,,@AltcoinGordon USD,und,['altcoingordon'],[],[],33,6,418,[],[],https://twitter.com/woonomic/status/1573915493894791169,,,0,,,,,,,,"{'user_id': '1354400126857605121', 'username': 'AltcoinGordon'}",,,,
