date,username,sentiment_score
2020-01-01,aantonop,-0.125
2020-01-01,alysekilleen,0.25
2020-01-01,balajis,-0.25
2020-01-01,cointelegraph,0.375
2020-01-01,danheld,0.025
2020-01-01,dtapcap,1.125
2020-01-01,erikvoorhees,0.0
2020-01-01,excellion,2.0
2020-01-01,jespow,0.0
2020-01-01,jgarzik,0.0
2020-01-01,lopp,0.3
2020-01-01,neerajka,0.0
2020-01-01,nlw,0.4875
2020-01-01,paoloardoino,1.375
2020-01-01,scottmelker,0.4375
2020-01-01,tyler,-0.125
2020-01-01,vitalikbuterin,0.0
2020-01-02,aantonop,0.0
2020-01-02,adam3us,0.16071428571428573
2020-01-02,apompliano,0.0
2020-01-02,balajis,0.25
2020-01-02,bitcoinmagazine,0.125
2020-01-02,brucefenton,-0.125
2020-01-02,cburniske,0.5
2020-01-02,cointelegraph,0.175
2020-01-02,danheld,0.0
2020-01-02,erikvoorhees,0.125
2020-01-02,excellion,-0.75
2020-01-02,gladstein,0.0
2020-01-02,lopp,-0.03571428571428571
2020-01-02,mikejcasey,0.75
2020-01-02,muneeb,0.375
2020-01-02,paoloardoino,-0.1875
2020-01-02,petermccormack,-0.25
2020-01-02,pwuille,0.4
2020-01-02,rogerkver,0.375
2020-01-02,satoshilite,1.0
2020-01-02,scottmelker,0.0
2020-01-02,thestalwart,-0.5
2020-01-02,vinnylingham,0.0
2020-01-02,vitalikbuterin,0.25
2020-01-02,woonomic,-0.125
2020-01-03,aantonop,-1.0
2020-01-03,apompliano,0.4166666666666667
2020-01-03,bitcoinmagazine,0.525
2020-01-03,blockstream,0.625
2020-01-03,brucefenton,0.59375
2020-01-03,cobie,0.125
2020-01-03,coinbase,0.0
2020-01-03,coindesk,0.0
2020-01-03,cointelegraph,-0.1125
2020-01-03,dtapcap,1.25
2020-01-03,erikvoorhees,-0.125
2020-01-03,fintechfrank,0.0
2020-01-03,haydenzadams,0.0
2020-01-03,jgarzik,0.125
2020-01-03,mikejcasey,0.5
2020-01-03,morcosa,0.5
2020-01-03,nickszabo4,0.5
2020-01-03,novogratz,0.5
2020-01-03,petermccormack,-0.1875
2020-01-03,rogerkver,-0.75
2020-01-03,sbf_ftx,0.1875
2020-01-03,scottmelker,0.5694444444444444
2020-01-03,thestalwart,0.0
2020-01-03,tuurdemeester,0.09375
2020-01-03,woonomic,1.5
2020-01-04,aantonop,0.375
2020-01-04,adam3us,0.3125
2020-01-04,austinhill,0.625
2020-01-04,bitcoinmagazine,-0.1875
2020-01-04,blockstream,0.875
2020-01-04,brucefenton,0.9166666666666666
2020-01-04,coinbase,-0.125
2020-01-04,coindesk,0.0625
2020-01-04,cointelegraph,-0.09375
2020-01-04,danheld,0.1875
2020-01-04,excellion,0.25
2020-01-04,fintechfrank,0.25
2020-01-04,gladstein,-0.375
2020-01-04,haydenzadams,0.75
2020-01-04,jackmallers,-0.375
2020-01-04,lopp,0.0625
2020-01-04,nickszabo4,0.0
2020-01-04,nlw,-0.136
2020-01-04,paoloardoino,1.0
2020-01-04,petermccormack,-0.1111111111111111
2020-01-04,pwuille,0.3125
2020-01-04,raoulgmi,0.5
2020-01-04,rogerkver,0.375
2020-01-04,scottmelker,0.8125
2020-01-04,thestalwart,0.5833333333333334
2020-01-04,vinnylingham,1.375
2020-01-05,aantonop,-0.25
2020-01-05,adam3us,0.051470588235294115
2020-01-05,apompliano,0.20833333333333334
2020-01-05,balajis,0.3125
2020-01-05,brucefenton,1.625
2020-01-05,cburniske,-0.5
2020-01-05,coindesk,0.0
2020-01-05,cointelegraph,0.125
2020-01-05,erikvoorhees,0.0
2020-01-05,excellion,0.1875
2020-01-05,fintechfrank,0.5
2020-01-05,gladstein,0.9375
2020-01-05,jillrgunter,0.375
2020-01-05,lopp,-0.08333333333333333
2020-01-05,nickszabo4,0.5625
2020-01-05,paoloardoino,0.5
2020-01-05,petermccormack,-0.125
2020-01-05,pwuille,1.0
2020-01-05,rogerkver,0.0
2020-01-05,scottmelker,0.3125
2020-01-05,thestalwart,1.375
2020-01-05,woonomic,0.5
2020-01-06,adam3us,-0.5833333333333334
2020-01-06,austinhill,0.5
2020-01-06,bitcoinmagazine,-0.5
2020-01-06,brucefenton,0.0546875
2020-01-06,cobie,1.375
2020-01-06,coindesk,0.375
2020-01-06,cointelegraph,-0.041666666666666664
2020-01-06,cryptomanran,0.625
2020-01-06,danheld,0.375
2020-01-06,erikvoorhees,0.875
2020-01-06,excellion,0.25
2020-01-06,fintechfrank,0.08333333333333333
2020-01-06,jessewldn,0.75
2020-01-06,jillrgunter,0.4375
2020-01-06,kyletorpey,0.625
2020-01-06,lopp,0.0
2020-01-06,paoloardoino,0.125
2020-01-06,petermccormack,0.0673076923076923
2020-01-06,sbf_ftx,-0.625
2020-01-06,scottmelker,0.0
2020-01-06,vitalikbuterin,0.5416666666666666
2020-01-07,adam3us,0.328125
2020-01-07,apompliano,0.5625
2020-01-07,balajis,0.0625
2020-01-07,brucefenton,0.5625
2020-01-07,coindesk,0.0
2020-01-07,cointelegraph,0.026785714285714284
2020-01-07,cryptomanran,1.125
2020-01-07,danheld,0.21875
2020-01-07,excellion,0.375
2020-01-07,fintechfrank,-0.0625
2020-01-07,jgarzik,0.125
2020-01-07,jillrgunter,-0.375
